"id","name","type","parent_id"
"170110","Pópulo","3","1701"
"040115","Vale Pereiro","3","0401"
"131625","Touguinhó","3","1316"
"031249","Vilarinho das Cambas","3","0312"
"031242","Oliveira (São Mateus)","3","0312"
"030817","Gandarela","3","0308"
"170117","Vila Verde","3","1701"
"030504","Britelo","3","0305"
"031244","Seide (São Paio)","3","0312"
"031243","Seide (São Miguel)","3","0312"
"031404","Infias","3","0314"
"031221","Landim","3","0312"
"131306","Beiriz","3","1313"
"030704","Ardegão","3","0307"
"171425","São Tomé do Castelo","3","1714"
"040116","Vales","3","0401"
"031236","Ruivães","3","0312"
"030503","Borba de Montanha","3","0305"
"030869","Tabuadelo","3","0308"
"030818","Gémeos","3","0308"
"030723","Regadas","3","0307"
"130307","Jugueiros","3","1303"
"030867","Serzedo","3","0308"
"030513","Infesta","3","0305"
"131601","Arcos","3","1316"
"040816","Sanhoane","3","0408"
"031208","Calendário","3","0312"
"171014","Torre do Pinhão","3","1710"
"171413","Lamas de Olo","3","1714"
"031202","Antas","3","0312"
"030866","Serzedelo","3","0308"
"031344","Carreiras (Santiago)","3","0313"
"031329","Nevogilde","3","0313"
"171211","Fornos do Pinhal","3","1712"
"160723","Freixo","3","1607"
"031119","Ventosa","3","0311"
"160733","Navió","3","1607"
"040231","Pombares","3","0402"
"040708","Bouça","3","0407"
"160936","Vila Fria","3","1609"
"031324","Lanhas","3","0313"
"041103","Argozelo","3","0411"
"031338","Portela das Cabras","3","0313"
"041112","Vale de Frades","3","0411"
"170207","Codessoso","3","1702"
"030124","Vilela","3","0301"
"160927","Portela Susã","3","1609"
"160904","Anha","3","1609"
"030106","Caldelas","3","0301"
"170210","Dornelas","3","1702"
"040210","Coelhoso","3","0402"
"040602","Cicouro","3","0406"
"031302","Arcozelo","3","0313"
"040730","Torre de Dona Chama","3","0407"
"030114","Paranhos","3","0301"
"031106","Cova","3","0311"
"031326","Marrancos","3","0313"
"170626","Salto","3","1706"
"170346","Vilarinho das Paranheiras","3","1703"
"030119","Bouro (Santa Maria)","3","0301"
"160909","Carvoeiro","3","1609"
"081408","Santa Luzia","3","0814"
"080105","Olhos de Água","3","0801"
"081403","Luz","3","0814"
"080805","Quarteira","3","0808"
"081002","Moncarapacho","3","0810"
"081303","Armação de Pêra","3","0813"
"080502","Estoi","3","0805"
"081501","Barão de São Miguel","3","0815"
"080102","Guia","3","0801"
"080606","Parchal","3","0806"
"081503","Raposeira","3","0815"
"080503","Santa Bárbara de Nexe","3","0805"
"080104","Ferreiras","3","0801"
"080706","Lagos (São Sebastião)","3","0807"
"081406","Tavira (Santiago)","3","0814"
"081502","Budens","3","0815"
"081409","Cabanas de Tavira","3","0814"
"081101","Alvor","3","0811"
"081304","Pêra","3","0813"
"080808","Loulé (São Clemente)","3","0808"
"081407","Santo Estêvão","3","0814"
"080601","Estômbar","3","0806"
"080804","Boliqueime","3","0808"
"080809","Loulé (São Sebastião)","3","0808"
"080701","Barão de São João","3","0807"
"081308","Tunes","3","0813"
"081603","Monte Gordo","3","0816"
"080704","Odiáxere","3","0807"
"081301","Alcantarilha","3","0813"
"081302","Algoz","3","0813"
"080811","Tôr","3","0808"
"080404","Altura","3","0804"
"081602","Vila Real de Santo António","3","0816"
"080103","Paderne","3","0801"
"080806","Querença","3","0808"
"080702","Bensafrim","3","0807"
"081103","Portimão","3","0811"
"081601","Vila Nova de Cacela","3","0816"
"081404","Santa Catarina da Fonte do Bispo","3","0814"
"081402","Conceição","3","0814"
"080402","Castro Marim","3","0804"
"081102","Mexilhoeira Grande","3","0811"
"080810","Benafim","3","0808"
"081405","Tavira (Santa Maria)","3","0814"
"081307","Silves","3","0813"
"080401","Azinhal","3","0804"
"080807","Salir","3","0808"
"080802","Alte","3","0808"
"081305","São Bartolomeu de Messines","3","0813"
"080901","Alferce","3","0809"
"081401","Cachopo","3","0814"
"080403","Odeleite","3","0804"
"080902","Marmelete","3","0809"
"080903","Monchique","3","0809"
"080803","Ameixial","3","0808"
"080205","Vaqueiros","3","0802"
